"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P0A9K3"	142187000	151428000	157611000	147415000	129582000	137474000	154612000	165544000	155222000	147052000	152818000	145111000	156320000	157573000	143659000	152916000
"P76177"	92589200	87304300	79598500	89428900	91996000	98923100	95990900	87934200	89130200	97801000	80086400	87470000	84830900	87517600	94314500	82682800
"P0AAZ4"	7392290	8545110	8847550	7147560	6346700	7312080	7907970	7749560	8626820	8127100	7877940	8813230	8054060	8740590	7882410	8722120
"P37749"	35434500	34123600	37875000	29878900	33829700	24388500	32801600	34211100	35845200	23554500	37811800	30907000	37674100	36198600	29765300	33973100
"P15770"	9882960	12912400	12334600	10575100	9302390	11207800	12052500	11925600	12680900	11294300	11344400	12435700	11652900	11242400	12396900	11918500
"P0ADE8"	82896400	67528700	70424700	81824500	77251400	81101900	73378500	74762600	75391500	59995600	73116300	71025300	73731500	77211900	69423500	73399500
"P25665"	1076020000	1582710000	1616370000	1305030000	1016080000	1236290000	1505150000	1491280000	1720230000	1332820000	1890530000	1724660000	1639710000	1632270000	1411630000	1656590000
"P75838"	43602100	75920600	81491200	49585000	45018000	48968600	74718500	90760200	77852000	69751000	95594500	75508400	82107200	74846000	79814000	87536200
"P04968"	87614800	47070000	44808900	55885800	76746800	65152600	45064900	42521400	41734500	27669400	39897300	37534300	43972300	49625200	35754600	40319100
"P0AFS3"	3115320	2343960	3070990	3782790	2869330	2936680	3044160	2939200	2646020	2185500	2862300	3240410	2843280	2800180	2784680	2725590
"P0AB83"	9046960	7330000	8385210	7936230	7782160	7197840	7726980	7485290	7601420	4813090	9199730	6135950	9033140	9213150	7949660	9286510
"P0A7V8"	680574000	843648000	867034000	653801000	671556000	646373000	818461000	885336000	886848000	856089000	906475000	820343000	872041000	856046000	878089000	891534000
"P06709"	8097360	6527940	6347300	7337100	7054090	7997840	6368800	6717950	6914870	7108470	7350670	6548020	7026050	6663850	6597180	6574350
"P04825"	204271000	168670000	181725000	216202000	181196000	170707000	158357000	164406000	177885000	105870000	184784000	161139000	182256000	174649000	148719000	172665000
"P0ACF0"	1583880000	1447520000	1136770000	1764990000	1833730000	1920650000	1854210000	1684110000	1587810000	1924070000	1434960000	1621220000	1413400000	1516090000	1747520000	1478730000
"P76187"	36045100	19629300	26186900	31149300	33429200	19359400	25445600	32115700	28023500	16372900	28973700	21635400	34170100	31292100	18598900	32630500
"P0A910"	3536900000	2889750000	2756090000	2997550000	3461800000	3899490000	2731250000	3448950000	2678550000	3930520000	3184930000	2958500000	2865130000	2535560000	2829890000	2951110000
"P77307"	5495390	5446760	5104960	6806980	6325170	5571930	6540460	5957390	7131620	5845640	5718760	5655720	8024010	5830140	5769200	5839870
"P75876"	13524400	16576700	17034200	13981900	13382700	14585800	17009800	17491000	17068900	16599000	16311800	16624100	16186600	16443900	17496800	17025300
"P15038"	12758900	11235600	11525100	11954700	12259000	9579140	11169000	11270900	11273200	7432820	11678600	10398000	13096300	12630400	9923150	11826800
"P0AG20"	40672800	31383700	32271400	33845200	33826100	30215900	29019600	28213400	32107700	21007600	30083500	28409600	33822500	31977000	27003800	29879700
"P0A6R3"	4997780	11194500	9157880	7340690	6186490	5417720	13951200	14998200	14019600	13917100	13649500	13264100	12655000	12073400	12759500	12580700
"P10443"	7952040	8817000	8772630	8425460	7996000	8016900	8360120	8592110	8571650	7394580	8292890	8325090	8490960	8137180	8901730	8520530
"P33599"	122105000	83198000	87253300	121173000	112457000	120251000	74762700	74117700	86385600	67193600	81786000	78766000	77160500	77411000	88820400	74957000
"P16703"	14515500	18179100	18355500	13595800	15029900	18434500	19025200	19361400	18439800	17995100	17498000	19100800	17834600	18851300	18859500	18900700
"P67699"	1271760	1226910	1029750	1140190	1767340	1666840	1277390	1473890	1118860	1383440	1188190	1202300	1134450	1337740	1070080	1365100
